Time [s],Ship0_X [m],Ship0_Y [m],Ship0_Speed_Smoothed [m/s],Ship0_Heading_Smoothed [deg],Ship0_YawRate_Smoothed [deg/s],Ship0_Rudder_Smoothed [deg],Ship0_Thrust_Smoothed [N],Ship0_Thrust_Raw [N],Ship1_X [m],Ship1_Y [m],Ship1_Speed_Smoothed [m/s],Ship1_Heading_Smoothed [deg],Ship1_YawRate_Smoothed [deg/s],Ship1_Rudder_Smoothed [deg],Ship1_Thrust_Smoothed [N],Ship1_Thrust_Raw [N],Ship2_X [m],Ship2_Y [m],Ship2_Speed_Smoothed [m/s],Ship2_Heading_Smoothed [deg],Ship2_YawRate_Smoothed [deg/s],Ship2_Rudder_Smoothed [deg],Ship2_Thrust_Smoothed [N],Ship2_Thrust_Raw [N],Ship3_X [m],Ship3_Y [m],Ship3_Speed_Smoothed [m/s],Ship3_Heading_Smoothed [deg],Ship3_YawRate_Smoothed [deg/s],Ship3_Rudder_Smoothed [deg],Ship3_Thrust_Smoothed [N],Ship3_Thrust_Raw [N]
0.0,260.0629126879308,1130.7910220098686,5.879137659800211,-1.6703115743363321,-0.0003173372599625227,0.1000356723006248,77620.00504620376,0.0,1498.6308141165403,233.16277584760127,5.898859793081272,92.45403999498603,-0.0006077102354480337,0.5194109706811971,125884.29942861266,0.0,2755.454035470666,1153.0424102454497,5.766503083629273,178.98747270420108,-0.0006965023248725978,0.18666556736522028,431231.84471360064,0.0,406.87999578195746,2636.320169382022,5.483774380788152,-46.81605604107159,-0.00041098570500229444,0.21148963184081207,233442.288417771,0.0
0.5,262.9323806432706,1130.7044013329532,5.819916997085257,-1.6747675561578172,-0.0017641648199463312,-0.1561041364379199,1324344.3622637708,6969243.594329448,1498.5103320829435,236.0540044303135,5.844234099741653,92.44784252851352,-0.002720088567478591,0.08702530190506319,1469470.7746894385,11018559.02207457,2752.7012828559814,1153.0943382047112,5.7080115549786985,178.98159335755227,-0.0027628925805762714,-0.3426641947648713,1675489.2249691112,2885584.602700211,408.71347928359114,2634.362247395799,5.4539042464685945,-46.82150896464977,-0.0023215755087716543,-0.12610783339688827,1810269.1730122627,15351700.5036128
1.0,265.60879621356685,1130.6162600490659,5.760647498161174,-1.6795442921226058,-0.0032482858828681493,-0.4122887420065373,2563474.7437943127,9036873.253530303,1498.4044664935723,238.775696801211,5.789606125347658,92.44114208714643,-0.004906847874000342,-0.3440982402942865,2805243.112542149,10849854.976465916,2750.165276464833,1153.148847799246,5.6495548165677,178.9751917788387,-0.004917881860212854,-0.8706582266811385,2915933.194482761,5534448.456980659,410.4692444943233,2632.47764169302,5.424052539806017,-46.82742742226172,-0.00430806218650667,-0.46260332415805167,3376066.879340523,15731988.709977778
1.5,268.12281419082643,1130.5241046477279,5.701400329359379,-1.6846699419933246,-0.004766544272443706,-0.6679120593275982,3786278.6210932145,10824714.88017938,1498.314170504015,241.347741381913,5.735043108541533,92.4338858866795,-0.007166072252286373,-0.7729512664320156,4123551.376471503,12556905.261736056,2747.8075274815037,1153.2078359764794,5.591206903082782,178.96820744131864,-0.007161373309100984,-1.3960853669689683,4144613.1647088127,7879495.049377213,412.16182018606185,2630.647834960535,5.394256741895542,-46.83386389448303,-0.00636970431054624,-0.797161377113158,4918391.79414121,18731058.16095986
2.0,270.50304942156686,1130.4296312673816,5.642245426400586,-1.6901746678650231,-0.006315043034001514,-0.9224083019543746,4984755.041021469,12467277.071974088,1498.2384968111496,243.7901469438053,5.680611216585545,92.42601756414172,-0.009494681122487091,-1.1985679449292055,5415711.046240123,13321056.117438132,2745.59407940548,1153.2714907836753,5.533040189256722,178.96057582497878,-0.009492096073170926,-1.9177530519221755,5353879.137580883,10140794.886807613,413.80035815013315,2628.862352193114,5.364553552738761,-46.84087458135094,-0.008504732103865298,-1.1289877434213906,6426275.5978964865,18674749.90203441
2.5,272.777858552182,1130.3373567404853,5.5832509159149755,-1.6960897566615243,-0.007889048525347057,-1.1752636877115334,6151743.958702925,13924492.956548031,1498.1755523283814,246.1213322827403,5.626374997909458,92.41747859948565,-0.01188814415615054,-1.6200436877024509,6674032.677320716,14633588.711716726,2743.4911311945334,1153.3395842149073,5.475124741163762,178.95222992160234,-0.011907289418508986,-2.434525936247645,6536530.840419131,12911631.642043917,415.3913633119926,2627.1185385463227,5.334978582031732,-46.84851810399927,-0.010710081786461064,-1.457346164988239,7890303.692732225,19018752.98865716
3.0,274.9697261826881,1130.2474387953075,5.524482670529757,-1.7024468068986165,-0.00948309484020952,-1.4260187237787105,7280979.6173668,15215760.67813416,1498.1196929521207,248.36791387325823,5.572396930660109,92.40820964647087,-0.014340420463116805,-2.0365500343810785,7891806.675271778,16733750.48581324,2741.475350433942,1153.411821643082,5.417527826675717,178.94310165903866,-0.014402561044477055,-2.94534454183714,7685957.266289479,14019888.917590147,416.947468760357,2625.4091536582455,5.305566100987782,-46.85685427903835,-0.012981341160670555,-1.7815681319455625,9302542.822128873,20059945.88897924
3.5,277.092025220118,1130.1589399897073,5.466003980668107,-1.70927699215945,-0.011091214979547995,-1.6742671963891311,8367120.932916067,15598850.99185989,1498.0673008065096,250.550566800133,5.51873707491019,92.39815175399691,-0.01684412128758081,-2.447341614848423,9063316.732858676,17554980.018854674,2739.5258818861107,1153.487295941599,5.360313562911444,178.9331232259671,-0.016971915581712196,-3.4492427427928622,8796253.913577128,15982687.779136939,418.4784600444026,2623.7263015174126,5.27634884509177,-46.86594298195343,-0.015312896270525699,-2.1010540820445027,10656437.377653955,20672477.946561225
4.0,279.16382787537407,1130.0747754880158,5.407875320549376,-1.7166104112760472,-0.012707215205690235,-1.9196542202824545,9405752.600405695,17019176.917389043,1498.0162044290203,252.68349181004209,5.465452829158719,92.38724746202458,-0.019390838667828397,-2.8517556272359372,10183864.499028362,18363641.172206957,2737.616875443772,1153.5628125164076,5.303542679352708,178.9222282805119,-0.01960793762287646,-3.945358872916412,9862309.523731936,17979049.36369971,419.9919405412407,2622.062895523087,5.247357872343061,-46.87584311346414,-0.01769820444408789,-2.4152697377107044,11946720.59287476,21426524.38719571
4.5,281.1990059922144,1129.9938394280582,5.350154193640448,-1.7244755323679413,-0.014324952119941116,-2.1618699973634286,10393368.926642695,17616794.38201657,1497.965221938235,254.77700613453538,5.412598773219385,92.37544175979028,-0.021971550146502337,-3.2492078362750045,11249765.723302407,18683905.401791077,2735.738781149103,1153.6351684080494,5.247272383783672,178.91035302876634,-0.02230210335686334,-4.432934186795782,10879869.295407716,17116616.153802026,421.4923437907914,2620.415078041424,5.218622474438995,-46.88661167990461,-0.020130106298247453,-2.72374160735581,13169335.754175873,21402069.909734014
