Time [s],Ship0_X [m],Ship0_Y [m],Ship0_Speed_Smoothed [m/s],Ship0_Heading_Smoothed [deg],Ship0_YawRate_Smoothed [deg/s],Ship0_Rudder_Smoothed [deg],Ship0_Thrust_Smoothed [N],Ship0_Thrust_Raw [N],Ship1_X [m],Ship1_Y [m],Ship1_Speed_Smoothed [m/s],Ship1_Heading_Smoothed [deg],Ship1_YawRate_Smoothed [deg/s],Ship1_Rudder_Smoothed [deg],Ship1_Thrust_Smoothed [N],Ship1_Thrust_Raw [N],Ship2_X [m],Ship2_Y [m],Ship2_Speed_Smoothed [m/s],Ship2_Heading_Smoothed [deg],Ship2_YawRate_Smoothed [deg/s],Ship2_Rudder_Smoothed [deg],Ship2_Thrust_Smoothed [N],Ship2_Thrust_Raw [N],Ship3_X [m],Ship3_Y [m],Ship3_Speed_Smoothed [m/s],Ship3_Heading_Smoothed [deg],Ship3_YawRate_Smoothed [deg/s],Ship3_Rudder_Smoothed [deg],Ship3_Thrust_Smoothed [N],Ship3_Thrust_Raw [N]
0.0,247.10606084246436,1134.5385480447987,5.9045234625550345,-1.6840972878651714,-0.0006666951559069292,1.2506448985835303,511572.19092871685,0.0,1518.2988827627166,267.7340288161758,5.828854955870482,92.29555912931724,-0.0002598283820324432,7.412478652836594e-06,111694.85598115521,0.0,2755.8564224961356,1138.5529924852244,5.705870599097942,-179.1695740198414,-0.0004389021800026949,0.3144238028159977,185851.1965963705,0.0,405.5658500793961,2618.3481628122145,5.468963397180188,-42.43971695423595,-5.883760794335229e-05,-0.7463343366490788,395553.73477043654,0.0
0.5,249.96761270994529,1134.4516844013558,5.843135885377033,-1.6873140360685368,-0.0024079959891127375,0.8428914926510912,1697084.4490696783,5575234.9412724115,1518.1823587188578,270.662571477296,5.785389607316697,92.29441428676249,-0.0010184132473537511,-0.14647402488052136,1824589.7482051773,20657017.54385965,2753.066093913026,1138.515184397177,5.657513302107915,-179.17283000393493,-0.0022826605102988437,-0.03679094659960715,1550798.1532673948,9470636.726614442,407.54099989121687,2616.5388983878515,5.439298406959014,-42.44224121180637,-0.0014815448725868485,-0.9644701466463013,1928879.2869705202,14678499.728965372
1.0,252.61786194920654,1134.363972041525,5.781744220837343,-1.6910100014630898,-0.004207772523829185,0.43714196389318477,2879711.4271463575,6583026.391311625,1518.0721741132827,273.48493344764245,5.741856792648066,92.29305186743332,-0.0018119445178451947,-0.29262212940977556,3523874.881038031,21112947.264583554,2750.431915780505,1138.4865109619116,5.609131335552309,-179.1765836827738,-0.004190589972119213,-0.3863504478196013,2907439.379430359,12562855.762784537,409.4342377358829,2614.795745940147,5.409626472010809,-42.445140290406236,-0.0029576099025225796,-1.1831282149677376,3453136.7411670736,16379996.545111109
1.5,255.09259035215692,1134.272953904656,5.72042416499899,-1.6952568857056924,-0.00606352092144293,0.03431642548829569,4051186.3386973473,9644626.079173243,1517.9685362943633,276.2128286118406,5.6983068415351035,92.29143600080923,-0.0026406652112618664,-0.4381084970359322,5195349.722022448,21518564.704284377,2747.9213452072004,1138.4683473352081,5.560783274959077,-179.18091192721747,-0.006160833293744598,-0.7333825798050263,4245478.405149334,14606281.146424051,411.25811358166317,2613.104669607487,5.379983948223572,-42.448473711810045,-0.004486014193054349,-1.4017601899187335,4955983.270476724,17690729.824911688
2.0,257.42358531149483,1134.17805685875,5.659249989323398,-1.7001271894925227,-0.00797175056473691,-0.36471331200435436,5203736.7959689405,11147226.278386248,1517.8711962841005,278.8565996015851,5.654789699444931,92.28952960759467,-0.003504378941332632,-0.5826145615824565,6826783.3788798135,21879665.2974194,2745.513100761831,1138.4605823624272,5.512526687999932,-179.1858929034677,-0.008190542912639367,-1.0770574625255154,5555683.300532836,15803353.318697121,413.0203837119805,2611.4611566258345,5.350406422375101,-42.45230231555458,-0.00606505606089901,-1.619851386718776,6426509.915819344,17398911.40414259
2.5,259.64383102828634,1134.0811968036608,5.598293909616458,-1.7056918545200626,-0.009927790805730537,-0.7591411646540844,6330221.579248674,13972712.537571078,1517.7797217738937,281.4253805482622,5.611354598537666,92.28729532801572,-0.00440232082368602,-0.7258365198757011,8407914.86223886,22201400.114332817,2743.1955380105583,1138.4596704867256,5.464417687868441,-179.19160365008585,-0.010275652708612104,-1.4166049625999804,6830018.310604238,15699598.289891079,414.74312345851195,2609.852468941323,5.320928389646085,-42.45668644514806,-0.0076922256124749835,-1.836931465015316,7855295.934282359,20380118.968549527
3.0,261.7805518977933,1133.986430537492,5.537625608861985,-1.7120180202295223,-0.011925808805521366,-1.1482369382207718,7424251.652159834,14826727.415920813,1517.693159400763,283.92759351908455,5.56804977589661,92.28469648030709,-0.005333091926641992,-0.8674898880202974,9930300.68970627,22488343.44439553,2740.9485386539595,1138.461345200732,5.416510580352186,-179.19811774915138,-0.01241086776098281,-1.7513247227588242,8061637.16180037,17677950.70464415,416.439788004248,2608.26899189067,5.291583010448815,-42.461684297956864,-0.009364270940384344,-2.0525733565566173,9234359.864229374,20227904.70539643
3.5,263.8558877399576,1133.8960482834552,5.477311900463632,-1.7191671163397888,-0.0139590161447267,-1.5313450344537687,8480288.260490784,16362607.014970034,1517.6099186452886,286.3714463467726,5.524922234543338,92.28169797759313,-0.006294664017000146,-1.007312562661632,11387163.641606716,22741400.351144493,2738.7629167300815,1138.4648927513358,5.368857585801425,-179.2055033199919,-0.014589850741803051,-2.0805880876981027,9244831.108195918,17002831.70610455,418.11706352642557,2606.7034959765733,5.262401951146903,-42.46735060634173,-0.011077386078568932,-2.2663869390083895,10557129.146824384,21575738.752640594
4.0,265.8850499889215,1133.808155821686,5.417416509071639,-1.7271934329154635,-0.016019974434825862,-1.9078769426436253,9493698.607921712,17131131.30810948,1517.5289858377935,288.76424007881275,5.482017544043286,92.2782671325297,-0.00728444831642168,-1.1450656370637744,12773244.146282285,22962712.044682946,2736.6215128050053,1138.4653669374702,5.321508630515814,-179.2138214962688,-0.016805531444875663,-2.4038337399829963,10374969.03405416,18771225.218407966,419.7824501012832,2605.150869900918,5.233415293914653,-42.473735705972125,-0.012827423964284056,-2.4780145006773355,11818395.73414603,21592425.31231832
4.5,267.86294556767115,1133.719894449725,5.357999934165803,-1.7361431808535503,-0.018100891448707888,-2.2773088457834665,10460756.39138362,15530702.585904501,1517.4497709376021,291.1123713522782,5.439379677583856,92.27437429721454,-0.00829940739010276,-1.2805327262718833,14084655.434382046,23156256.27887236,2734.512987799036,1138.4631931119914,5.274511203491405,-179.22312545149242,-0.019050460144165216,-2.7205578506326242,11448435.921385055,18675878.666279666,421.42912759700016,2603.615236661917,5.204651488155161,-42.48088495986252,-0.014610083302859202,-2.6871279612078696,13014224.880165437,20098084.64415866
